2081	6214
6214	2081
1110	4193
4193	1110
2049	3676
3676	2049
714	5275
5275	714
1517	4556
4556	1517
1638	3848
3848	1638
84	3360
3360	84
508	6333
6333	508
1477	3052
3052	1477
1375	2505
2505	1375
1102	4199
4199	1102
13	3696
3696	13
748	6720
6720	748
219	2470
2470	219
520	4493
4493	520
2319	3359
3359	2319
462	4036
4036	462
1663	3876
3876	1663
1212	5028
5028	1212
49	3485
3485	49
1876	6341
6341	1876
1490	2382
2382	1490
2160	3221
3221	2160
713	4800
4800	713
1483	6326
6326	1483
1200	2500
2500	1200
56	5718
5718	56
1368	4311
4311	1368
1640	5551
5551	1640
1662	3854
3854	1662
2177	4445
4445	2177
737	4583
4583	737
479	6126
6126	479
1178	3995
3995	1178
790	2432
2432	790
1873	3648
3648	1873
2123	4793
4793	2123
2080	2786
2786	2080
182	2440
2440	182
1931	4749
4749	1931
482	4590
4590	482
2231	2772
2772	2231
2077	5475
5475	2077
705	5810
5810	705
1443	2986
2986	1443
1437	2750
2750	1437
1	4254
4254	1
1993	5184
5184	1993
2026	5673
5673	2026
325	3759
3759	325
1055	6289
6289	1055
1482	3121
3121	1482
1439	4690
4690	1439
2294	3105
3105	2294
741	3292
3292	741
1745	2711
2711	1745
1331	5965
5965	1331
1197	5390
5390	1197
1599	6633
6633	1599
2014	5016
5016	2014
2166	3424
3424	2166
482	5895
5895	482
521	4251
4251	521
1472	5803
5803	1472
322	5154
5154	322
566	3138
3138	566
1200	2564
2564	1200
618	2736
2736	618
1175	4594
4594	1175
477	2820
2820	477
1045	3485
3485	1045
476	2845
2845	476
713	4316
4316	713
2345	2374
2374	2345
1364	3645
3645	1364
1262	4472
4472	1262
1475	2640
2640	1475
1610	4084
4084	1610
465	6545
6545	465
1211	2416
2416	1211
1364	3032
3032	1364
1400	5750
5750	1400
120	2937
2937	120
633	2724
2724	633
1980	3183
3183	1980
1833	3054
3054	1833
2205	5160
5160	2205
2179	3052
3052	2179
913	3455
3455	913
312	3325
3325	312
1519	3476
3476	1519
985	3832
3832	985
1333	4555
4555	1333
1207	3106
3106	1207
215	3078
3078	215
353	5523
5523	353
1443	2952
2952	1443
1440	5533
5533	1440
311	3693
3693	311
1237	3865
3865	1237
780	2453
2453	780
638	2721
2721	638
1982	5299
5299	1982
2077	3056
3056	2077
1642	4962
4962	1642
97	6407
6407	97
1801	5057
5057	1801
2253	4287
4287	2253
1256	5676
5676	1256
2124	4012
4012	2124
417	5603
5603	417
1481	2461
2461	1481
621	5188
5188	621
2237	5359
5359	2237
1227	2347
2347	1227
1849	3336
3336	1849
1608	2721
2721	1608
1270	4813
4813	1270
1399	4247
4247	1399
2048	6030
6030	2048
553	4453
4453	553
2075	2445
2445	2075
1490	5573
5573	1490
266	3797
3797	266
1070	6257
6257	1070
261	2409
2409	261
1205	5201
5201	1205
1123	4047
4047	1123
1445	3871
3871	1445
1421	4071
4071	1421
1610	2716
2716	1610
1772	4409
4409	1772
2252	4684
4684	2252
2139	4246
4246	2139
1556	6189
6189	1556
1085	3366
3366	1085
1328	2840
2840	1328
990	3277
3277	990
2229	4144
4144	2229
808	3277
3277	808
348	2659
2659	348
920	2921
2921	920
909	2962
2962	909
1775	4450
4450	1775
1815	2431
2431	1815
1399	5314
5314	1399
1619	5800
5800	1619
1858	4139
4139	1858
8	4476
4476	8
1954	5005
5005	1954
1865	6578
6578	1865
1625	5203
5203	1625
747	3298
3298	747
301	3525
3525	301
547	6552
6552	547
1239	2664
2664	1239
1756	3825
3825	1756
858	6052
6052	858
1974	4510
4510	1974
700	2380
2380	700
1266	5352
5352	1266
665	5336
5336	665
872	4585
4585	872
126	3832
3832	126
1030	3046
3046	1030
2240	4951
4951	2240
1824	5956
5956	1824
105	6667
6667	105
234	2435
2435	234
1986	3506
3506	1986
1615	6122
6122	1615
61	4359
4359	61
2108	3173
3173	2108
2020	4158
4158	2020
756	5672
5672	756
1139	3866
3866	1139
1999	3041
3041	1999
1416	6539
6539	1416
129	5146
5146	129
2036	3014
3014	2036
1109	4544
4544	1109
717	3759
3759	717
1016	6191
6191	1016
759	3039
3039	759
1888	6677
6677	1888
1118	4353
4353	1118
996	6275
6275	996
23	4115
4115	23
338	6281
6281	338
187	3983
3983	187
1802	2787
2787	1802
1598	6001
6001	1598
661	4690
4690	661
623	2717
2717	623
1890	5248
5248	1890
1082	2456
2456	1082
1340	5276
5276	1340
702	3686
3686	702
1696	6066
6066	1696
1776	6210
6210	1776
1568	4320
4320	1568
2262	6556
6556	2262
1435	6064
6064	1435
1716	4593
4593	1716
853	5986
5986	853
1881	6624
6624	1881
108	4174
4174	108
1313	5112
5112	1313
1703	5961
5961	1703
68	5294
5294	68
560	3023
3023	560
582	2583
2583	582
1594	3719
3719	1594
1622	3052
3052	1622
594	3211
3211	594
1418	4696
4696	1418
644	3784
3784	644
1310	2431
2431	1310
1046	3585
3585	1046
2173	3914
3914	2173
1322	3873
3873	1322
1586	3090
3090	1586
296	5068
5068	296
90	4747
4747	90
729	4867
4867	729
2330	4689
4689	2330
129	4628
4628	129
2016	3362
3362	2016
1044	4174
4174	1044
247	3903
3903	247
2191	3184
3184	2191
1245	3393
3393	1245
270	3525
3525	270
1366	4305
4305	1366
2231	2761
2761	2231
1166	4099
4099	1166
582	4124
4124	582
218	3609
3609	218
1407	5807
5807	1407
734	3396
3396	734
1950	3104
3104	1950
1459	5081
5081	1459
1651	4652
4652	1651
1161	2411
2411	1161
422	2471
2471	422
1277	5952
5952	1277
2132	3398
3398	2132
1492	3764
3764	1492
1324	5460
5460	1324
512	4945
4945	512
1241	5613
5613	1241
1573	2380
2380	1573
1226	3779
3779	1226
232	3039
3039	232
221	3686
3686	221
1865	3937
3937	1865
498	5097
5097	498
1149	2693
2693	1149
409	3574
3574	409
2261	4675
4675	2261
39	2977
2977	39
2268	5320
5320	2268
2123	3627
3627	2123
1352	4922
4922	1352
680	3068
3068	680
1819	5093
5093	1819
2278	4985
4985	2278
2177	5833
5833	2177
1438	4715
4715	1438
2167	6648
6648	2167
272	2383
2383	272
627	5720
5720	627
1558	2938
2938	1558
1351	4004
4004	1351
149	5739
5739	149
440	2396
2396	440
359	2857
2857	359
517	5001
5001	517
511	6136
6136	511
1595	3054
3054	1595
1485	2667
2667	1485
835	4719
4719	835
1269	5490
5490	1269
463	3116
3116	463
1928	3552
3552	1928
707	6314
6314	707
390	2784
2784	390
1243	2767
2767	1243
1890	3918
3918	1890
1467	2452
2452	1467
2093	2552
2552	2093
443	4189
4189	443
2230	5226
5226	2230
2308	4137
4137	2308
1723	4423
4423	1723
1512	3597
3597	1512
1936	3793
3793	1936
544	4387
4387	544
977	4839
4839	977
1885	5278
5278	1885
1609	4001
4001	1609
2170	3363
3363	2170
1171	5351
5351	1171
1404	2787
2787	1404
318	5388
5388	318
2339	4006
4006	2339
1086	6211
6211	1086
2058	6562
6562	2058
90	2840
2840	90
106	3853
3853	106
1164	4974
4974	1164
2003	2976
2976	2003
1428	5729
5729	1428
965	4794
4794	965
53	5448
5448	53
1953	3012
3012	1953
1661	4724
4724	1661
2046	4127
4127	2046
371	3529
3529	371
1735	3870
3870	1735
894	5675
5675	894
1281	5883
5883	1281
466	3508
3508	466
1387	3081
3081	1387
723	3873
3873	723
949	3565
3565	949
504	6465
6465	504
1722	5496
5496	1722
2307	5627
5627	2307
1972	5905
5905	1972
1689	3667
3667	1689
2307	2434
2434	2307
1340	5732
5732	1340
503	4286
4286	503
1965	4541
4541	1965
1425	3290
3290	1425
2174	2812
2812	2174
2220	2524
2524	2220
432	3340
3340	432
1538	5701
5701	1538
2098	6657
6657	2098
1777	2896
2896	1777
1089	4186
4186	1089
2	3063
3063	2
1624	3473
3473	1624
1677	2921
2921	1677
671	3179
3179	671
2159	6019
6019	2159
932	2741
2741	932
1712	6518
6518	1712
436	3813
3813	436
954	3199
3199	954
1831	5164
5164	1831
1386	5619
5619	1386
1867	5409
5409	1867
1970	6114
6114	1970
1892	2620
2620	1892
425	4499
4499	425
1231	5414
5414	1231
1851	4261
4261	1851
722	3277
3277	722
532	6337
6337	532
1116	2800
2800	1116
1232	2466
2466	1232
190	3068
3068	190
1418	3647
3647	1418
554	2357
2357	554
1366	2986
2986	1366
274	2705
2705	274
244	3396
3396	244
1200	5473
