509	2398
2398	509
733	2361
2361	733
1458	2361
2361	1458
1592	2361
2361	1592
101	2362
2362	101
911	2398
2398	911
199	2398
2398	199
311	2404
2404	311
1608	2361
2361	1608
179	2361
2361	179
1194	2378
2378	1194
1802	2565
2565	1802
121	2361
2361	121
279	2350
2350	279
473	2361
2361	473
2201	2350
2350	2201
2281	2362
2362	2281
1116	2398
2398	1116
2107	2361
2361	2107
445	2371
2371	445
2064	2361
2361	2064
649	2350
2350	649
1999	2361
2361	1999
354	2460
2460	354
1998	2354
2354	1998
38	2361
2361	38
1580	2386
2386	1580
176	2398
2398	176
118	2468
2468	118
1443	2361
2361	1443
2031	2361
2361	2031
1573	2797
2797	1573
1379	2378
2378	1379
243	2350
2350	243
1695	2361
2361	1695
989	2350
2350	989
2245	2465
2465	2245
2111	2361
2361	2111
762	2350
2350	762
274	2362
2362	274
1418	2398
2398	1418
1139	2371
2371	1139
1480	2460
2460	1480
980	2350
2350	980
1781	2410
2410	1781
1895	2404
2404	1895
2157	2398
2398	2157
162	2367
2367	162
2141	2361
2361	2141
1989	2367
2367	1989
1644	2350
2350	1644
2158	2398
2398	2158
1063	2361
2361	1063
627	2354
2354	627
2220	2460
2460	2220
2174	2354
2354	2174
1595	2465
2465	1595
396	2361
2361	396
356	2350
2350	356
184	2361
2361	184
575	2465
2465	575
491	2386
2386	491
188	2565
2565	188
272	2371
2371	272
282	2361
2361	282
1628	2371
2371	1628
1542	2368
2368	1542
1691	2350
2350	1691
994	2404
2404	994
916	2361
2361	916
1043	2403
2403	1043
2035	2398
2398	2035
1030	2350
2350	1030
1730	2371
2371	1730
631	2362
2362	631
502	2350
2350	502
1969	2404
2404	1969
2058	2350
2350	2058
988	2375
2375	988
409	2362
2362	409
470	2350
2350	470
2272	2404
2404	2272
75	2386
2386	75
1894	2361
2361	1894
165	2375
2375	165
1938	2350
2350	1938
2312	2350
2350	2312
19	2386
2386	19
1951	2367
2367	1951
197	2386
2386	197
437	2565
2565	437
391	2404
2404	391
85	2361
2361	85
1374	2350
2350	1374
1321	2361
2361	1321
859	2350
2350	859
22	2398
2398	22
646	2565
2565	646
1931	2350
2350	1931
464	2350
2350	464
1586	2468
2468	1586
1176	2371
2371	1176
2206	2468
2468	2206
979	2404
2404	979
463	2350
2350	463
84	2404
2404	84
1212	2354
2354	1212
1976	2404
2404	1976
2167	2390
2390	2167
855	2368
2368	855
845	2368
2368	845
1619	2378
2378	1619
793	2398
2398	793
646	2361
2361	646
191	2368
2368	191
214	2398
2398	214
2215	2404
2404	2215
2023	2375
2375	2023
1647	2361
2361	1647
856	2460
2460	856
2068	2361
2361	2068
281	2350
2350	281
831	2361
2361	831
1535	2371
2371	1535
1652	2350
2350	1652
1096	2361
2361	1096
208	2371
2371	208
1094	2390
2390	1094
1270	2390
2390	1270
51	2361
2361	51
1230	2378
2378	1230
940	2403
2403	940
582	2350
