1525	2353
2353	1525
1592	2413
2413	1592
246	2353
2353	246
580	2353
2353	580
1269	2413
2413	1269
1620	2353
2353	1620
985	2353
2353	985
1877	2353
2353	1877
1278	2353
2353	1278
2104	2353
2353	2104
990	2353
2353	990
1093	2353
2353	1093
2342	2518
2518	2342
1380	2353
2353	1380
1314	2353
2353	1314
2143	2413
2413	2143
1487	2413
2413	1487
2158	2353
2353	2158
856	2353
2353	856
7	2353
2353	7
1857	2353
2353	1857
2122	2353
2353	2122
1413	2353
2353	1413
1438	2356
2356	1438
648	2353
2353	648
436	2773
2773	436
219	2376
2376	219
24	2376
2376	24
644	2376
2376	644
1450	2353
2353	1450
2336	2353
2353	2336
1590	2353
2353	1590
1805	2353
2353	1805
88	2353
2353	88
436	2376
2376	436
1927	2353
2353	1927
988	2353
2353	988
1979	2353
2353	1979
901	2397
2397	901
1838	2413
2413	1838
345	2353
2353	345
3	2353
2353	3
2070	2353
2353	2070
347	2353
2353	347
733	2353
2353	733
244	2353
2353	244
740	2353
2353	740
1532	2353
2353	1532
666	2353
2353	666
998	2353
2353	998
695	2353
2353	695
1548	2413
2413	1548
2317	2353
2353	2317
1587	2353
2353	1587
681	2353
2353	681
559	2353
2353	559
2052	2353
2353	2052
994	2413
2413	994
1637	2353
2353	1637
2210	2353
2353	2210
118	2353
2353	118
1471	2376
2376	1471
2261	2413
2413	2261
1727	2353
2353	1727
1169	2353
2353	1169
2092	2353
2353	2092
1209	2353
2353	1209
2253	2353
2353	2253
639	2353
2353	639
1414	2353
2353	1414
1135	2353
2353	1135
1679	2353
2353	1679
2268	2353
2353	2268
1366	2353
2353	1366
734	2353
2353	734
64	2353
2353	64
1649	2353
2353	1649
1006	2353
2353	1006
23	2353
2353	23
646	2353
2353	646
2315	2356
2356	2315
1022	2353
2353	1022
12	2353
2353	12
1580	2353
2353	1580
83	2353
2353	83
1176	2353
2353	1176
455	2376
2376	455
402	2353
2353	402
2181	2353
2353	2181
1076	2413
2413	1076
837	2353
2353	837
1315	2353
2353	1315
1623	2353
2353	1623
272	2397
2397	272
608	2353
2353	608
558	2353
2353	558
1863	2353
2353	1863
2034	2353
2353	2034
2176	2353
2353	2176
1718	2353
2353	1718
1026	2353
2353	1026
617	2353
2353	617
1967	2413
2413	1967
141	2353
2353	141
294	2413
2413	294
562	2353
2353	562
1393	2353
2353	1393
1100	2353
2353	1100
689	2518
2518	689
1964	2353
2353	1964
1467	2353
2353	1467
1029	2353
2353	1029
2203	2353
2353	2203
1728	2413
2413	1728
1604	2376
2376	1604
1889	2353
2353	1889
598	2376
2376	598
1620	2413
2413	1620
1082	2353
2353	1082
1973	2353
2353	1973
463	2413
2413	463
123	2413
2413	123
1477	2353
2353	1477
1180	2353
2353	1180
178	2353
2353	178
1122	2353
2353	1122
