57	1463	0.259251
2763	441	0.252947
514	2237	0.321120
3939	91	0.326830
5604	811	0.315770
4454	304	0.398446
4343	399	0.289770
4029	762	0.305533
1301	1377	0.284595
2139	1192	0.318353
1342	184	0.644829
691	1855	0.211531
2886	339	0.250464
814	871	0.195378
4603	1732	0.411395
888	324	0.264745
1465	2034	0.409576
3525	606	0.248375
5516	1965	0.359423
3751	1732	0.466394
1382	1178	0.127023
4655	955	0.291105
1196	782	0.417936
2102	2008	0.403712
514	695	0.482620
4155	606	0.264586
4735	1483	0.651370
5262	1659	0.305030
1140	2021	0.330029
3475	1804	0.139607
1172	2266	0.200903
1491	1498	0.380960
5221	737	0.290013
2076	1804	0.185423
5134	1235	0.263749
5301	603	0.330773
1389	333	0.762604
1711	702	0.426077
481	2087	0.246097
3964	871	0.205474
1687	1543	0.354187
3298	720	0.420264
3086	1139	0.339816
3744	1891	0.234515
694	630	0.239479
3819	1528	0.201981
4027	1251	0.227629
3212	810	0.425407
4577	577	0.209662
5094	1153	0.640381
5152	2004	0.312760
5950	514	0.682908
3100	2026	0.290650
857	1351	0.300735
3791	952	0.303739
542	303	0.138897
2128	232	0.207113
4495	335	0.257776
1014	552	0.340367
2791	226	0.424495
888	1160	0.294834
868	1368	0.232834
970	301	0.257949
1665	1640	0.260071
2202	1181	0.326499
1789	1311	0.179573
2872	94	0.281837
1321	0	0.407459
4065	1892	0.208832
4445	1897	0.140720
2190	6	0.188281
5521	922	0.346890
2076	983	0.163179
173	586	0.345610
3609	584	0.316422
5137	1586	0.294117
5487	1846	0.179133
1271	1261	0.299394
542	1088	0.196900
3255	31	0.670482
4477	704	0.345648
3934	1139	0.317228
3291	704	0.351380
271	509	0.152169
4444	1832	0.262848
2522	145	0.240402
1837	1850	0.240327
61	290	0.361480
923	921	0.297338
328	853	0.226131
1693	319	0.286729
823	1148	0.240111
962	97	0.233035
4077	1091	0.354679
405	201	0.547492
4746	199	0.226379
1951	2095	0.216331
2894	696	0.609386
4116	1167	0.252716
1398	348	0.287836
2732	1159	0.562119
964	36	0.483396
5751	717	0.370870
1191	1381	0.394407
2188	2217	0.256861
203	2218	0.193108
1180	1425	0.275814
1111	1851	0.291207
1612	1730	0.327033
190	1332	0.452872
3555	1659	0.320285
2303	1108	0.371582
5811	1551	0.446316
1646	90	0.141101
1666	2225	0.300094
606	1332	0.488153
5001	226	0.376178
3943	201	0.576896
1108	301	0.241893
1679	346	0.276010
5746	1895	0.318303
2664	2143	0.239363
2747	1636	0.167423
6022	1208	0.202670
6035	1661	0.283253
2668	1322	0.373852
5867	514	0.578071
3152	226	0.418848
5291	423	0.329951
1888	1193	0.255652
4257	1613	0.421309
4814	1441	0.204240
5907	707	0.316372
41	2074	0.246764
1165	725	0.375439
5836	711	0.374631
4483	1659	0.390467
